id,player_name,canonical_name,card_name_version,team,era,primary_position,secondary_positions,current_ovr,proposed_ovr,delta,current_tier,proposed_tier,internal_score,peak_ability,career_achievement,longevity,playoff_performance,awards_honors,historical_impact,badges,archetype,model_source,confidence,evidence_level,nearest_anchor_above_or_equal,nearest_anchor_below_or_equal,manual_review,manual_review_reason,reasoning,source_file,source_line
kyrie-irving-celtics,Kyrie Irving (Celtics),Kyrie Irving,Kyrie Irving (Celtics),Boston Celtics,2017-2019,PG,SG,92,93,1,Amethyst,Amethyst,91.3,94.9,89.5,87.6,91.6,89.5,89.5,Shot Creator;Three-Level Scorer;Clutch,Primary Shotmaking Engine,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,High-current-OVR card lacks exact historical anchor. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,852
billy-cunningham-76ers,Billy Cunningham (76ers),Billy Cunningham,Billy Cunningham (76ers),Philadelphia 76ers,Team-specific historical variant,SF,PF,93,93,0,Amethyst,Amethyst,91,92.5,90.5,89.5,90.8,90.2,89.2,,,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,High-current-OVR card lacks exact historical anchor. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,737
james-harden-rockets,James Harden (Rockets),James Harden,James Harden (Rockets),Houston Rockets,2012-2021,SG,PG,95,93,-2,Amethyst,Amethyst,91,97,91,83,82,91,91,Shot Creator;Floor General;Elite Shooter,Isolation Playmaker,exact-anchor,high,curated historical anchor,Michael Jordan (100),Cooper Flagg (2025-26) (83),no,,"Rockets Harden anchor: MVP offensive peak, moderated by playoff translation.",src/data/players.ts,431
nate-thurmond-warriors,Nate Thurmond (Warriors),Nate Thurmond,Nate Thurmond (Warriors),Golden State Warriors,Team-specific historical variant,C,PF,93,93,0,Amethyst,Amethyst,91,92.5,90.5,89.5,90.8,90.2,89.2,,,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,High-current-OVR card lacks exact historical anchor. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,739
paul-arizin-warriors,Paul Arizin (Warriors),Paul Arizin,Paul Arizin (Warriors),Golden State Warriors,Team-specific historical variant,SF,SG,93,93,0,Amethyst,Amethyst,91,92.5,90.5,89.5,90.8,90.2,89.2,,,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,High-current-OVR card lacks exact historical anchor. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,740
dwight-howard,Dwight Howard,Dwight Howard,Dwight Howard,Orlando Magic,2004-2022,C,,90,93,3,Ruby,Amethyst,90.4,94,91,82,88,92,88,Rim Protector;Glass Cleaner;Lob Threat,Vertical Defensive Anchor,exact-anchor,high,curated historical anchor,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,Tier change: Ruby to Amethyst.,Dwight anchor: three-time DPOY-level defensive peak and Finals-center value.,src/data/players.ts,450
bill-walton,Bill Walton,Bill Walton,Bill Walton,Portland Trail Blazers,1974-1988,C,PF,92,93,1,Amethyst,Amethyst,90,96,88,75,95,91,91,Rim Protector;Connector;Champion DNA,Playmaking Defensive Center,exact-anchor,high,curated historical anchor,Michael Jordan (100),Cooper Flagg (2025-26) (83),no,,"Walton anchor: championship/MVP peak and playoff impact, heavily limited by longevity.",src/data/players.ts,551
tracy-mcgrady-magic,Tracy McGrady (Magic),Tracy McGrady,Tracy McGrady (Magic),Orlando Magic,2000-2004,SG,SF;PG,93,93,0,Amethyst,Amethyst,87.1,96,86,75,78,86,88,Shot Creator;Three-Level Scorer;Playmaking Wing,Apex Scoring Wing Creator,exact-anchor,high,curated historical anchor,Michael Jordan (100),Cooper Flagg (2025-26) (83),no,,Magic McGrady anchor: spectacular peak but short playoff and longevity resume.,src/data/players.ts,446
kevin-garnett-celtics,Kevin Garnett (Celtics),Kevin Garnett,Kevin Garnett (Celtics),Boston Celtics,2007-2013,PF,C,93,92,-1,Amethyst,Amethyst,92.3,90,95,90,94,95,93,Switchable Big;Rim Protector;Energy Leader,Defensive Culture Setter,exact-anchor,high,curated historical anchor,Michael Jordan (100),Cooper Flagg (2025-26) (83),no,,Celtics KG is a title-winning defensive anchor version below his Minnesota peak.,src/data/players.ts,403
anthony-davis-pelicans,Anthony Davis (Pelicans),Anthony Davis,Anthony Davis (Pelicans),New Orleans Pelicans,2012-2019,PF,C,93,92,-1,Amethyst,Amethyst,91.8,94.4,90.5,89.5,90.8,91,89.8,Rim Protector;Switchable Big;Vertical Threat,Explosive Mobile Defensive Star,active-card-anchor,medium,curated active-era anchor,Michael Jordan (100),Cooper Flagg (2025-26) (83),no,,Active/current card anchor set to 92; needs final stat-source validation before merge.,src/data/players.ts,467
george-gervin,George Gervin,George Gervin,George Gervin,San Antonio Spurs,1972-1986,SG,SF,91,92,1,Amethyst,Amethyst,91.6,94,92,89,86,92,90,Shot Creator;Clutch;Transition Force,Silky Bucket Getter,exact-anchor,high,curated historical anchor,Michael Jordan (100),Cooper Flagg (2025-26) (83),no,,Gervin anchor: scoring-title superstar with elite peak offense but less playoff/two-way lift.,src/data/players.ts,425
kevin-mchale,Kevin McHale,Kevin McHale,Kevin McHale,Boston Celtics,1980-1993,PF,C,92,92,0,Amethyst,Amethyst,91.5,92,93,86,94,93,89,Post Scorer;Rim Protector;Champion DNA,Post Savant Big,exact-anchor,high,curated historical anchor,Michael Jordan (100),Cooper Flagg (2025-26) (83),no,,McHale anchor: elite post scorer and title frontcourt star below franchise-alpha legends.,src/data/players.ts,377
dominique-wilkins,Dominique Wilkins,Dominique Wilkins,Dominique Wilkins,Atlanta Hawks,1982-1999,SF,PF,91,92,1,Amethyst,Amethyst,91.4,94,92,89,84,92,91,Athletic Freak;Shot Creator;Transition Force,Explosion Wing Scorer,exact-anchor,high,curated historical anchor,Michael Jordan (100),Cooper Flagg (2025-26) (83),no,,Dominique anchor: explosive scoring superstar with strong longevity and limited deep playoff resume.,src/data/players.ts,428
kevin-durant-nets,Kevin Durant (Nets),Kevin Durant,Kevin Durant (Nets),Brooklyn Nets,2020-2023,SF,PF,92,92,0,Amethyst,Amethyst,90.6,94,94,78,86,94,90,Three-Level Scorer;Shot Creator;Elite Shooter,Surgical Shotmaking Wing,exact-anchor,high,curated historical anchor,Michael Jordan (100),Cooper Flagg (2025-26) (83),no,,"Nets Durant retains elite scoring but is a later, less durable version without deep playoff payoff.",src/data/players.ts,849
nate-archibald,Nate Archibald,Nate Archibald,Nate Archibald,Sacramento Kings,1970-1984,PG,SG,92,92,0,Amethyst,Amethyst,90.6,94,91,84,88,91,90,Floor General;Transition Force;Shot Creator,Lightning Pace Creator,exact-anchor,high,curated historical anchor,Michael Jordan (100),Cooper Flagg (2025-26) (83),no,,Tiny Archibald anchor: rare scoring/playmaking peak and later title value.,src/data/players.ts,552
russell-westbrook,Russell Westbrook,Russell Westbrook,Russell Westbrook,Oklahoma City Thunder,2008-Present,PG,SG,92,92,0,Amethyst,Amethyst,90.2,94,91,86,80,91,92,Athletic Freak;Transition Force;Rim Pressure,Relentless Rim Attacker,exact-anchor,high,curated historical anchor,Michael Jordan (100),Cooper Flagg (2025-26) (83),no,,"Westbrook anchor: MVP peak and statistical impact, moderated by playoff scalability.",src/data/players.ts,434
pete-maravich,Pete Maravich,Pete Maravich,Pete Maravich,Utah Jazz,1970-1980,SG,PG,92,92,0,Amethyst,Amethyst,89.1,94,90,78,82,90,96,Shot Creator;Floor General;Clutch,Showman Scoring Creator,exact-anchor,high,curated historical anchor,Michael Jordan (100),Cooper Flagg (2025-26) (83),no,,"Maravich anchor: historic skill and cultural impact, with longevity/playoff limits.",src/data/players.ts,424
tracy-mcgrady-rockets,Tracy McGrady (Rockets),Tracy McGrady,Tracy McGrady (Rockets),Houston Rockets,2004-2010,SG,SF;PG,95,92,-3,Amethyst,Amethyst,86.7,93,87,77,78,87,87,Shot Creator;Playmaking Wing;Clutch,Complete Offensive Wing Engine,exact-anchor,high,curated historical anchor,Michael Jordan (100),Cooper Flagg (2025-26) (83),no,,Rockets McGrady is still elite but below the Magic scoring apex.,src/data/players.ts,447
victor-wembanyama-2025-26,Victor Wembanyama (2025-26),Victor Wembanyama,Victor Wembanyama (2025-26),San Antonio Spurs,2025-26,C,,95,91,-4,Amethyst,Amethyst,93,97.1,90.7,89.7,91.9,91.2,92.4,Floor General;Glass Cleaner;Rim Protector,2025-26 Interior Anchor,active-card-anchor,medium,curated active-era anchor,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,Current-season high-value card needs active-season evidence validation. | Large proposed OVR delta.,Active/current card anchor set to 91; needs final stat-source validation before merge.,src/data/players-current-2026.ts,209
dave-debusschere-knicks,Dave DeBusschere (Knicks),Dave DeBusschere,Dave DeBusschere (Knicks),New York Knicks,Team-specific historical variant,PF,SF,92,91,-1,Amethyst,Amethyst,90.8,89,92,91,93,92,89,,,exact-anchor,high,curated historical anchor,Michael Jordan (100),Cooper Flagg (2025-26) (83),no,,DeBusschere anchor: championship two-way forward with elite defensive and role portability.,src/data/players.ts,743
anthony-davis-lakers,Anthony Davis (Lakers),Anthony Davis,Anthony Davis (Lakers),Los Angeles Lakers,2019-Present,PF,C,92,91,-1,Amethyst,Amethyst,90.7,92.7,90.5,87.6,90.8,89.7,88.8,Rim Protector;Switchable Big;Vertical Threat,Two-Way Championship Big,active-card-anchor,medium,curated active-era anchor,Michael Jordan (100),Cooper Flagg (2025-26) (83),no,,Active/current card anchor set to 91; needs final stat-source validation before merge.,src/data/players.ts,468
carmelo-anthony-nuggets,Carmelo Anthony (Nuggets),Carmelo Anthony,Carmelo Anthony (Nuggets),Denver Nuggets,2003-2011,SF,PF,92,91,-1,Amethyst,Amethyst,90.6,93,91,90,82,91,90,Shot Creator;Three-Level Scorer;Transition Force,Explosive Three-Level Scorer,exact-anchor,high,curated historical anchor,Michael Jordan (100),Cooper Flagg (2025-26) (83),no,,"Nuggets Melo anchor: high-end scorer with strong career value, moderated by defense and playoff impact.",src/data/players.ts,474
hal-greer-76ers,Hal Greer (76ers),Hal Greer,Hal Greer (76ers),Philadelphia 76ers,Team-specific historical variant,SG,PG,92,91,-1,Amethyst,Amethyst,90.6,90,92,91,88,92,89,,,exact-anchor,high,curated historical anchor,Michael Jordan (100),Cooper Flagg (2025-26) (83),no,,Greer anchor: durable Hall-of-Fame guard and high-level title-era contributor.,src/data/players.ts,744
damian-lillard,Damian Lillard,Damian Lillard,Damian Lillard,Portland Trail Blazers,2012-Present,PG,,91,91,0,Amethyst,Amethyst,89.8,93,90,84,86,90,91,Elite Shooter;Clutch;Shot Creator,Deep-Range Shot Creator,exact-anchor,high,curated historical anchor,Michael Jordan (100),Cooper Flagg (2025-26) (83),no,,"Lillard anchor: elite deep-range offensive peak and clutch identity, below MVP/title-anchor guards.",src/data/players.ts,465
dave-bing-pistons,Dave Bing (Pistons),Dave Bing,Dave Bing (Pistons),Detroit Pistons,Team-specific historical variant,PG,SG,92,91,-1,Amethyst,Amethyst,89.2,92,90,86,82,90,88,,,exact-anchor,high,curated historical anchor,Michael Jordan (100),Cooper Flagg (2025-26) (83),no,,Bing anchor: Hall-of-Fame scoring guard with strong peak but below top guard anchors.,src/data/players.ts,742
jimmy-butler,Jimmy Butler,Jimmy Butler,Jimmy Butler,Miami Heat,2011-Present,SF,SG;PF,92,91,-1,Amethyst,Amethyst,88.7,91,89,80,94,88,88,Clutch;Wing Stopper;Paint Pressure,Playoff Two-Way Alpha,exact-anchor,high,curated historical anchor,Michael Jordan (100),Cooper Flagg (2025-26) (83),no,,"Butler anchor: playoff-elevating two-way wing, below higher regular-season achievement legends.",src/data/players.ts,507
grant-hill-pistons,Grant Hill (Pistons),Grant Hill,Grant Hill (Pistons),Detroit Pistons,Team-specific historical variant,SF,PG,91,91,0,Amethyst,Amethyst,86.3,93,86,75,80,86,88,,,exact-anchor,high,curated historical anchor,Michael Jordan (100),Cooper Flagg (2025-26) (83),no,,Pistons Grant Hill anchor: elite point-wing peak with injury-limited longevity.,src/data/players.ts,748
kawhi-leonard-spurs,Kawhi Leonard (Spurs),Kawhi Leonard,Kawhi Leonard (Spurs),San Antonio Spurs,2011-2018,SF,SG;PF,91,91,0,Amethyst,Amethyst,85.9,91,86,72,88,86,87,Wing Stopper;Clutch;Transition Force,Young Two-Way Wing Stopper,exact-anchor,high,curated historical anchor,Michael Jordan (100),Cooper Flagg (2025-26) (83),no,,Spurs Kawhi is an elite two-way ascent card below the Raptors playoff apex.,src/data/players.ts,421
anthony-edwards-2025-26,Anthony Edwards (2025-26),Anthony Edwards,Anthony Edwards (2025-26),Minnesota Timberwolves,2025-26,SG,,94,90,-4,Amethyst,Ruby,92.1,96.3,89.7,88.7,90.9,89.7,92.1,Elite Shooter;Floor General;Wing Stopper,2025-26 Perimeter Sniper,active-card-anchor,medium,curated active-era anchor,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,Current-season high-value card needs active-season evidence validation. | Large proposed OVR delta. | Tier change: Amethyst to Ruby.,Active/current card anchor set to 90; needs final stat-source validation before merge.,src/data/players-current-2026.ts,213
kyrie-irving-cavs,Kyrie Irving (Cavs),Kyrie Irving,Kyrie Irving (Cavs),Cleveland Cavaliers,2011-2017,PG,SG,91,90,-1,Amethyst,Ruby,90.3,93.4,88.5,87.5,90.6,88.2,89.2,Shot Creator;Clutch;Elite Shooter,Complete Shotmaking Lead Guard,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,High-current-OVR card lacks exact historical anchor. | Tier change: Amethyst to Ruby. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,490
sidney-moncrief,Sidney Moncrief,Sidney Moncrief,Sidney Moncrief,Milwaukee Bucks,1979-1991,SG,PG,91,90,-1,Amethyst,Ruby,90.2,93.2,88.5,87.5,90.6,88.5,88.5,Point-of-Attack;Clutch;Paint Pressure,Defensive Apex Guard,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,High-current-OVR card lacks exact historical anchor. | Tier change: Amethyst to Ruby. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,713
arvydas-sabonis-blazers,Arvydas Sabonis (Blazers),Arvydas Sabonis,Arvydas Sabonis (Blazers),Portland Trail Blazers,Team-specific historical variant,C,PF,92,90,-2,Amethyst,Ruby,90,91.5,89.5,88.5,89.8,89.2,88.2,,,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,High-current-OVR card lacks exact historical anchor. | Tier change: Amethyst to Ruby. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,741
kyrie-irving-nets,Kyrie Irving (Nets),Kyrie Irving,Kyrie Irving (Nets),Brooklyn Nets,2019-2023,PG,SG,91,90,-1,Amethyst,Ruby,90,93.2,88.5,86.6,90.6,88.2,88.5,Shot Creator;Three-Level Scorer;Clutch,Handle-and-Shotmaking Virtuoso,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,High-current-OVR card lacks exact historical anchor. | Tier change: Amethyst to Ruby. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,851
chris-paul-rockets,Chris Paul (Rockets),Chris Paul,Chris Paul (Rockets),Houston Rockets,2017-2019,PG,,91,90,-1,Amethyst,Ruby,89.9,92.4,88.5,87.5,90.6,88.2,88.8,Floor General;Midrange Surgeon;Clutch,Veteran Control Guard,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,High-current-OVR card lacks exact historical anchor. | Tier change: Amethyst to Ruby. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,416
donovan-mitchell,Donovan Mitchell,Donovan Mitchell,Donovan Mitchell,Utah Jazz,2017-Present,SG,PG,91,90,-1,Amethyst,Ruby,89.9,92.5,88.5,87.5,90.6,88.2,88.5,Shot Creator;Clutch;Paint Pressure,Explosive Scoring Guard,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,High-current-OVR card lacks exact historical anchor. | Tier change: Amethyst to Ruby. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,555
sam-jones,Sam Jones,Sam Jones,Sam Jones,Boston Celtics,1957-1969,SG,SF,90,90,0,Ruby,Ruby,89.9,91.6,90,86.5,92.1,87.9,87.9,Clutch;Elite Shooter;Champion DNA,Clutch Championship Shooter,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,High-current-OVR card lacks exact historical anchor. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,715
kawhi-leonard-2025-26,Kawhi Leonard (2025-26),Kawhi Leonard,Kawhi Leonard (2025-26),Los Angeles Clippers,2025-26,SF,,92,90,-2,Amethyst,Ruby,89.8,93.6,87.7,86.7,88.9,87.4,90.1,Elite Shooter;Floor General;Glass Cleaner,2025-26 Two-Way Wing,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,High-current-OVR card lacks exact historical anchor. | Current-season high-value card needs active-season evidence validation. | Tier change: Amethyst to Ruby. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players-current-2026.ts,242
